,Theme,Nudges
63,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness on LiFE Mission , ICFRE- IFGTB, Coimbatore"
64,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness and Promotion of Mission LiFE, Encourage of use of milltes in food and indegenous herbs and medicinal plants for nutrition and well being by ICFRE-IFB, Hyderabad"
69,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness creation on Mission Life to school/college students and general public and Participation in National Level Exhibition on GSDP products in connection with National Workshop on Life at MoEF&CC, New Delhi."
74,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being BPCL conducted various  programs  on stress management & wellness, such as:"
77,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being A mega event was organized by the ICFRE-CEC (Coastal Ecosystem Centre), Visakhapatnam and Indira Gandhi Zoological Park (IGZP), on the occasion of World Wetlands Day, at Kondakarla Ava wetland on 2nd February 2023. In the event, ICFRE- CEC put up a stall on â€œThe Mangroves of Visakhapatnamâ€ to create awareness amongst the public and students"
78,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness creation on LiFE Mission to school students, college students and general public in and around Coimbatore district."
79,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Bicycle Rally and Pledge Administration
81,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being The Mangroves of VisakhapatnamBeach Clean-up event Training on Cultivation Techniques of Red SandersAwareness programme on Mission LiFE Bird Walk at Kambalakonda Eco Tourism Park, VizagBiodiversity and its conservation"
82,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Seminar on Eco-friendly lifestyle cum awareness programme on first aid treatment through naturopathy  at ICFRE-Institute of Forest Productivity, Ranchi"
83,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness Program on Mission LiFE at  FRI Campus
84,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness Programme was conducted By ICFRE-TFRI on Practice natural or organic farming at Village Jhalwara, Katni district (MP)"
85,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness creation on LiFE Mission to school students, college students and general public in and around Coimbatore district. Awareness on LiFE Mission was also created to the Visitors of Gass Forest Museum, IFGTB and visitors of the Central Library, Coimbatore.  Awareness materials pertaining to theme of Mission LiFE were released during the activities and disseminated widely. In addition, documentaries pertaining to the theme were telecasted"
87,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness & Promotion of Mission LiFE and Encourage use of millets in food and indigenous herbsand medicinal plantsfor nutrition and well being.
88,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Head, Extension Division, RFRI delivered a presentation on 26-01-2023 on LiFE (Lifestyle for Environment) for sensitizing all the Scientists, Officers, Supporting & Ministerial Staff, Family Members and Children on various activities of LiFE Programme. He spoke about the aims and objectives, modus operandi and possible impact of LiFE Programme. He appealed to all for little change in our behavior and mindset to the environment friendly lifestyle. He elucidated seventy five actions to be followed by ourselves in our daily life for better world. He also mentioned about the Sustainable Development Goals (SDGs) and informed that Mission LiFE contributes directly and indirectly to almost all the SDGs."
89,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Preparation of organic manure from cow dung by ICFRE-SDC, Chhindwara"
94,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being A lecture on â€œDiseases in daily life and their protectionsâ€ delivered by Chief Guest Dr. D.S. Mertiya of AFRI Dispensary. During this program he provided detailed information about communicable and non-communicable diseases in human caused by the current lifestyle. To get rid of these diseases, the Dr. Mertiya told Yoga, Pranayama to be useful. He also answered various queries of the audience. Sh. M.R. Baloch, Director AFRI also expressed his views on the subject. Dr. Tarun Kant, GCR, Smt. Bhawana Sharma, HoD, Extension Division, all Scientist/Officers/Staff are present in this program. The coordination of program was done Smt. Kusum Parihar. "
95,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being BPCL organized Awareness programs about stress management & wellness.
98,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Presentation on LiFE for sensitizing ICFRE-RFRI, Jorhat personnel on various activities of LiFE programme"
101,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness Programme on Practice natural or organic farming
105,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Distribution of pamphlets, kits and  digital repositories on â€œAchhi Adatâ€ in all SAGY GPs"
108,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Bicycle Rally
115,LiFEStyles Adopted,Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Seminar on Eco-friendly lifestyle
116,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Lecture on diseases in daily life and their protections by Dr. D.S. Mertiya organized by ICFRE-AFRI, Jodhpur"
124,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Awareness Program on Mission LiFE 
 Painting and slogan writing competition on IDF 2023 
 Training at Haridwar and Tree Health Hazard Assessment"
131,LiFEStyles Adopted,"Encourage use of millets in food and indigenous herbs and medicinal plants for nutrition and well being Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
133,Water Saved,"Fix leaks in flushes, taps and waterpipes #à¤ªà¤¾à¤¨à¥€à¤¬à¤šà¤¾à¤à¤‚ "
134,Water Saved,"Fix leaks in flushes, taps and waterpipes IOCL- DIGBOI REFINERY has completed the activity of “ Display of LiFE standee on Save Water ” at 13 different locations of Digboi Refinery installations and township- Total 10 standee has been displayed."
