,Theme,Nudges
336,Water Saved,Reuse water from washed vegetables to water plants and other purpose à¤¹à¤®à¤¾à¤°à¥€ à¤¨à¤¦à¤¿à¤¯à¥‹à¤‚ à¤”à¤° à¤ªà¥à¤°à¤¾à¤•à¥ƒà¤¤à¤¿à¤• à¤œà¤² à¤¸à¥à¤°à¥‹à¤¤à¥‹à¤‚ à¤•à¥‡ à¤¸à¤‚à¤°à¤•à¥à¤·à¤£ à¤”à¤° à¤¸à¤«à¤¾à¤ˆ à¤•à¥‡ à¤²à¤¿à¤ à¤œà¤¨ à¤œà¤¾à¤—à¤°à¥‚à¤•à¤¤à¤¾ à¤”à¤° à¤¸à¤¾à¤°à¥à¤µà¤œà¤¨à¤¿à¤• à¤­à¤¾à¤—à¥€à¤¦à¤¾à¤°à¥€ à¤•à¥‡ à¤²à¤¿à¤ à¤à¤¨à¤†à¤°à¤¸à¥€à¤¡à¥€ à¤¦à¥à¤µà¤¾à¤°à¤¾ à¤ªà¥à¤°à¤¸à¥à¤¤à¤¾à¤µà¤¿à¤¤ à¤†à¤‰à¤Ÿà¤°à¥€à¤š à¤—à¤¤à¤¿à¤µà¤¿à¤§à¤¿à¤¯à¥‹à¤‚ à¤¸à¥‡ à¤¸à¤‚à¤¬à¤‚à¤§à¤¿à¤¤ à¤•à¤¾à¤°à¥à¤¯à¤•à¥à¤°à¤® à¤•à¥€ à¤°à¤¿à¤ªà¥‹à¤°à¥à¤Ÿ
341,LiFEStyles Adopted,Start biodiversity conservation at community level Release of fauna into water pond for biodiversity conservation.
342,LiFEStyles Adopted,"Start biodiversity conservation at community level IOCL Paradip Refinery released fauna such as turtles and fishes in Ecopark pond and Ducks in Raw water pond on the occasion of world environment day at Paradip Refinery, Odisha as a part of biodiversity conservation."
343,Energy Saved,Switch off appliances from plug points when not in use Switch off appliances from their plug points when not in use
344,Energy Saved,Switch off appliances from plug points when not in use #LifestyleForEnvironment 
346,Energy Saved,Switch off vehicle engines at red lights and railway crossings “Energy Conservation- Use of Digital Banners ” under “Lifestyle for the Environment (LiFe)”
350,Energy Saved,Switch off vehicle engines at red lights and railway crossings BPCL Retail Outlets (Western Region) - January-2023.
351,Energy Saved,Switch off vehicle engines at red lights and railway crossings Banners were placed at 20 Retail Outlets under Coimbatore DO. Awarness camapign was conducted
352,Energy Saved,Switch off vehicle engines at red lights and railway crossings BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of January 2023.
356,Energy Saved,Switch off vehicle engines at red lights and railway crossings #LifestyleForEnvironment
360,Energy Saved,Switch off vehicle engines at red lights and railway crossings Turn off the vehicle’s ignition while waiting at Red signal/Railway Crossings
361,Energy Saved,Switch off vehicle engines at red lights and railway crossings IOCL- GUJARAT REFINERY has performed the Activity â€œEnergy Conservation- Use of Digital Banners â€ under â€œLifestyle for the Environment (LiFe)â€ has been completed at different Locations in Gujarat Refinery from 11.03.2023 to 25.03.2023 in Gujarat Refinery -Main Admin Building & in Gujarat Refinery Township.
366,Energy Saved,Take the stairs instead of an elevator wherever possible test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil
367,Energy Saved,Take the stairs instead of an elevator wherever possible TESTING TESTING TESTING TESTING TESTING TESTING TESTING TESTING TESTING TESTING TESTING 
368,Energy Saved,Use LED bulbs/ tube-lights Use LED Bulbs in place of Filament Bulbs
369,Energy Saved,Use LED bulbs/ tube-lights BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.
370,Energy Saved,Use LED bulbs/ tube-lights IOCL Haldia RefineryAwarenes on Energy and Water conservation through electronic display board and posters.
371,Energy Saved,Use LED bulbs/ tube-lights BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of February 2023.
372,Energy Saved,Use LED bulbs/ tube-lights IOCL- DIGBOI REFINERY has performed the Activity “Display of LiFE standee- Creatives on Save Energy ” at 13 different locations of Digboi Refinery installations and Refinery township places.
376,Energy Saved,Use LED bulbs/ tube-lights BPCL promotes Mission LiFE through Social Media.
405,Energy Saved,Use LED bulbs/ tube-lights IOCL -DIGBOI REFINERY has completed the activity of Distribution of Monthly safety day gift to contract workers inside refinery with #chooseLIFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” to promote the message of Mission LiFE for Awareness.
419,Energy Saved,Use LED bulbs/ tube-lights Use LED Bulb/Tube-Lights in place of incandescent bulb
422,Energy Saved,"Use LED bulbs/ tube-lights BPCL developed creatives on seven themes of Mission LiFE. These creatives were posted on social media such as Twitter, Facebook, Linkedin, Instagram & Koo, which received huge response through likes, comments & shares."
423,Energy Saved,Use LED bulbs/ tube-lights Use of LED Bulbs/LED Tube lights for energy saved
424,Energy Saved,Use LED bulbs/ tube-lights BPCL Retail Outlets (Northern Region) - February-2023.
425,Energy Saved,"Use LED bulbs/ tube-lights Banners were placed at 20 ROs under IOCL, Coimbatore DO. Awarness messages were spread among public to use LED bulbs."
426,Energy Saved,Use LED bulbs/ tube-lights #LifestyleForEnvironment 
427,Energy Saved,"Use LED bulbs/ tube-lights An awareness meeting on use of LED bulbs/Tubes is conducted in Vellore II RSA of IOCL Chennai Divisional Office . The program was attended by 30 participants. During the meeting the advantages of LED lights including less power consumption, increased illumination were briefed"
428,Energy Saved,Use LED bulbs/ tube-lights 40 LED bulbs were distributed among people of Karnawas village panchayat area by IOCL Rewari Terminal officers.
429,Energy Saved,Use LED bulbs/ tube-lights At IOCL Haldia Refinery
430,Energy Saved,Use LED bulbs/ tube-lights #LifestyleForEnvironment
431,Energy Saved,"Use LED bulbs/ tube-lights Promotion and observance of Mission LiFE one-week focused campaign from 10-14 July in Embassy of India, Moscow including planting of trees by the Ambassador in JNCC premises on 14 July 2023."
432,Energy Saved,"Use LED bulbs/ tube-lights “India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023"
433,Energy Saved,"Use LED bulbs/ tube-lights SSG PAREEK P.G. GIRLS COLLEGE, CHOMU"
439,Energy Saved,"Use LED bulbs/ tube-lights IOCL- DIGBOI REFINERY has put up the display of LiFE standee on various themes of Save energy at different locations of refinery installations ( Refinery Main Gate, Bazar Gate,CPP Building Entrance,Technical Building,Admin Ofice ( HR Building, Entrance Gate), ETP,NTF) and township (Hospital, Guest House, Clubs). Then  IOCL- DIGBOI REFINERY has senstize the working personnel around this places regarding the concept of Mission LiFE . Total 10 Numbers of standees on five different themes on Save energy has been displayed."
440,Energy Saved,Use LED bulbs/ tube-lights MISSION LIFE
442,Energy Saved,"Use LED bulbs/ tube-lights IOCL -DIGBOI REFINERY conducts Monthly Safety Day at 1st of every month for creating awareness among contract workers regarding work place safety and  gifts are distributed to workers for safety quiz . This year on 01.03.2023 , Digboi refinery has distributed the monthly safety day gifts with #chooseLIFE logo and and creatives on the themes of â€œSave Energyâ€œ and â€œConserve Waterâ€ ."
443,Energy Saved,"Use LED bulbs/ tube-lights Use of 40 LED Tube lights in Board room and 124 LED bulbs at ICFRE Headquarter, Dehradn "
444,Energy Saved,Use LED bulbs/ tube-lights Street lights were replaced with LED lights for more efficiency in IWST. 
445,Energy Saved,Use LED bulbs/ tube-lights https://www.facebook.com/profile/100064593915988/search/?q=mission%20life
446,Energy Saved,"Use LED bulbs/ tube-lights Effective measures were taken to implement the action points planned for promotion and observance of Mission LiFE one-week focused campaign from 10-14 July in Embassy of India, Moscow. Posters (standies) were installed in all the 3 Embassy buildings and digital publicity was done by sharing Mission LiFE content on Mission website and social media handles to encourage adoption of healthy lifestyle, energy saving, water saving and waste reduction practices, and reduce use of single-use plastic. Mission LiFE videos were played on loop in visitor hall of the Consular Wing. Embassy was declared a plastic free zone. Flushes, taps and water pipes of the Embassy were checked for any leakage. Bins were installed at various locations in the Embassy. Trees were planted by the Ambassador in JNCC premises on 14 July 2023."
447,Energy Saved,Use LED bulbs/ tube-lights Street lights were replaced with LED
448,Energy Saved,"Use LED bulbs/ tube-lights YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF"
449,Energy Saved,Use LED bulbs/ tube-lights Word Environment Day celebrated at Govt Girls College Taranagar (Churu). Lecture was given on MISSION LIFE by Mr. Hira Lal Assistant Professor Hindi and the Programme Officer NSS Unit. Students brought various charts and diagrams. Planted trees in college campus. 
450,Energy Saved,Use LED bulbs/ tube-lights Save Nature Save Life
451,Energy Saved,Use LED bulbs/ tube-lights test test
452,Energy Saved,"Use LED bulbs/ tube-lights Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
453,Energy Saved,"Use LED bulbs/ tube-lights On 10 May 2023, Awareness camp was conducted at Indian Oil Ahmednagar Depot outside Maingate on all the themes of Mission-Life activities. Shri S.P.Kashyapi, CDM, P.S.Jagtap, Sr.Mgr and Vikas Pable, DSO emphasised on following activities for the contract Labours, TT Drivers, Security Personnels etc. Approx 150 participants were present in the awareness camp activity."
455,Energy Saved,"Use LED bulbs/ tube-lights Besides taking Environment Day Pledge as part of promotion of Mission LiFE on June 05, 2023 by officials of CGI, Phuentsholing and observing cleanliness and Environment friendly measures regularly, CGI Phuentsholing also organized ""India-Bhutan Friendship Tree Plantation Driveâ€ on June 05, 2023 in collaboration with Phuentsholing Thromde (i.e. Phuentsholing Municipality) to promote awareness about a clean and green environment."
456,Energy Saved,"Use LED bulbs/ tube-lights SSG PAREEK PG GIRLS COLLEGE, CHOMU"
457,Energy Saved,"Use LED bulbs/ tube-lights Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter."
459,Energy Saved,Use LED bulbs/ tube-lights BPCL Retail Outlets (Northern Region) - January-2023.
460,Energy Saved,"Use LED bulbs/ tube-lights As part of #MissionLiFE, entries were invited for the â€œPoster Creation Online Contestâ€ from 1 to 5 May 2023, under the theme: Invest in our Planet. "
466,Energy Saved,"Use LED bulbs/ tube-lights Cd’A Ms. Angeline Premalatha participated in World Environment Day celebrations at Indian Cultural Centre, also graced by HE Ahmed Bin Amer Al-Humaidi, former Minister of Environment. Exhibition of recycled waste products & trashion show to spread awareness of environment friendly products and fashion was also organised."
495,Energy Saved,Use LED bulbs/ tube-lights Opening remark on Mission Life Campaign
505,Energy Saved,"Use LED bulbs/ tube-lights Ambassador Mr. Sanjay Rana launched a week-long campaign on Mission LiFE and briefed regarding the activities planned during the week on the main themes, viz, Save Energy, Save Water, Say No to Single Use Plastic, Reduce waste, Reduce E-waste, Adopt healthy lifestyles and Adopt sustainable Food Systems."
512,Energy Saved,"Use LED bulbs/ tube-lights “Poster Creation Online Contest” from 1 to 5 May 2023, under the theme: Invest in our Planet."
514,Energy Saved,Use LED bulbs/ tube-lights test test test test test test
521,Energy Saved,Use LED bulbs/ tube-lights Distribution of LED bulbs to village people by IOCL Rewari Terminal
537,Energy Saved,Use LED bulbs/ tube-lights Awareness meeting on use of LED bulb/ tube lights
539,Energy Saved,Use bicycles for local or short commute Bike Rally on 4 June 2023 On the occasion of World Environment Day.
540,Energy Saved,"Use bicycles for local or short commute Social Media Campaign for World Environment Day, promoting Mission LiFE."
542,Energy Saved,"Use bicycles for local or short commute The banners were displayed during the Green Energy Summit ofanised by Indian Oil Corporation Ltd at Hyatt Rgenecy Delhi. There were more than 500 participants present physically and 1000 participants joined online. The summit was attended by OMCs, Banks, Media houses, Financers, Bio Energy entrepreneurs. "
544,Energy Saved,Use bicycles for local or short commute The banners were displayed during the Green Energy Summit ofanised by Indian Oil Corporation Ltd at Hyatt Rgenecy Delhi.
545,Energy Saved,Use bicycles for local or short commute Banners were placed at prominent places 10 Retail Outlets in Coimbatore District for creating awareness among public for saving energy
546,Energy Saved,"Use bicycles for local or short commute Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
547,Energy Saved,"Use bicycles for local or short commute Poster displayed for creating awareness for usage of cycle, thereby saving fuel/energy."
548,Energy Saved,"Use bicycles for local or short commute Lifestyle for Environment 🌏🌿

Energy Saved: Use bicycles for local or short commute 🚲"
554,Energy Saved,Use bicycles for local or short commute Walk or use bicycles whenever possible!
555,Energy Saved,Use bicycles for local or short commute USE BICYCLES
558,Energy Saved,"Use bicycles for local or short commute On the occasion of World Environment Day and to create awareness on  Mission LiFE, High Commission of India organised a Bike Rally on 4 June 2023 in Lilongwe. Number of riders including kids participated  at the rally."
560,Energy Saved,Use bicycles for local or short commute #LifestyleForEnvironment
563,Energy Saved,"Use bicycles for local or short commute #10Days10Steps Social Media Campaign was started on 1st June 2023, in the lead-up and after World Environment Day on June 5th, promoting various sustainable lifestyle changes that benefit the environment. "
569,Water Saved,"Use buckets instead of hose pipes to water plants/ floors/ vehicles RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 30th March, 2023 #ChooseLiFE #ProPlanetPeople"
571,Water Saved,"Use buckets instead of hose pipes to water plants/ floors/ vehicles RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 23rd March, 2023 #ChooseLiFE #ProPlanetPeople"
573,Water Saved,"Use buckets instead of hose pipes to water plants/ floors/ vehicles RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 09th April, 2023. #ChooseLiFE #ProPlanetPeople"
574,Water Saved,Use buckets instead of hose pipes to water plants/ floors/ vehicles Green Talk/interaction on #Mission LiFE
576,Water Saved,"Use buckets instead of hose pipes to water plants/ floors/ vehicles RMNH Mysore, @NMNHIndia- @moefcc organised Green Talk/interaction on #Mission LiFE - Lifestyle for Environment on 12th March 2023 in which 248 students and general public participated #ChooseLiFE #ProPlanetPeople"
577,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags पलास्टिक प्रदूषण का समाधान
578,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags प्लास्टिक प्रदूषण का समाधान
580,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags 40 no. of Jute bags were distributed among village people in karnawas panchayat area by officers of IOCL Rewari Terminal. 
581,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags IOCL Paradip Refinery Estate Office has installed â€˜Cloth bag vending machineâ€™ in front of Fruit shop in market complex, where user can dispense cloth bag at a nominal cost of Rs 10.  This will help in reducing consumption of single use plastic & plastic waste generated. Cloth bag will be dispensed by payment through cash, coins & scanning QR code also."
583,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags BPCL Retail Outlets (Southern Region) - January-2023.
588,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags Paradip Refinery installs ‘Cloth bag vending machine’ at PDR Township Shopping Complex, where user can dispense cloth bag at a nominal cost."
589,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags Cleaned the surroundings planted trees.
590,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of January 2023.
591,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags Distribution of Jute bags to village people by IOCL Rewari Terminal Haryana
594,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags #SayNoToSUP
595,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags Nukkad natak  conducted at COCO Vytilla,Ernakulam in order to educate customers at retail outlet regarding use of single use plastic."
596,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags Replaced disposable glasses/cups with steel bottles and Disposable cutlery in the Guest House are replaced with ceramic cutlery by ICFRE-IWST, Bengaluru"
597,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags HFRI organized an event on theme ""Single Use Plastic Reduced"" at Jawahar Navodaya Vidyalaya, Kothipura, Bilaspur, HP on 15th February, 2023. "
598,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags Nukkad natak conducted at COCO Vytilla,Ernakulam in order to educate customers at retail outlet regarding use of single use plastic."
599,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags ""Single Use Plastic Reduced"""
600,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags à¤µà¥€à¤°à¤¬à¤¾à¤²à¤¾ à¤•à¤¾à¤²à¥€ à¤¬à¤¾à¤ˆ à¤°à¤¾à¤œà¤•à¥€à¤¯ à¤•à¤¨à¥à¤¯à¤¾ à¤®à¤¹à¤¾à¤µà¤¿à¤¦à¥à¤¯à¤¾à¤²à¤¯ à¤¡à¥‚à¤‚à¤—à¤°à¤ªà¥à¤° à¤®à¥‡à¤‚ à¤ªà¤°à¥à¤¯à¤¾à¤µà¤°à¤£ à¤¦à¤¿à¤µà¤¸ à¤ªà¤° â€œà¤ªà¤²à¤¾à¤¸à¥à¤Ÿà¤¿à¤• à¤ªà¥à¤°à¤¦à¥‚à¤·à¤£ à¤•à¤¾ à¤¸à¤®à¤¾à¤§à¤¾à¤¨â€ à¤¥à¥€à¤® à¤ªà¤° à¤µà¥€à¤°à¤¬à¤¾à¤²à¤¾ à¤•à¤¾à¤²à¥€ à¤¬à¤¾à¤ˆ à¤°à¤¾à¤œà¤•à¥€à¤¯ à¤•à¤¨à¥à¤¯à¤¾ à¤®à¤¹à¤¾à¤µà¤¿à¤¦à¥à¤¯à¤¾à¤²à¤¯ à¤¡à¥‚à¤‚à¤—à¤°à¤ªà¥à¤° à¤•à¥‡ à¤ªà¥à¤°à¤¾à¤šà¤¾à¤°à¥à¤¯ à¤¡à¥‰. à¤ªà¤¨à¥à¤¨à¤¾ à¤²à¤¾à¤² à¤•à¤Ÿà¤¾à¤°à¤¾ à¤¨à¥‡ à¤›à¤¾à¤¤à¥à¤°à¤¾à¤“à¤‚ à¤•à¥‹ à¤¸à¤‚à¤¬à¥‹à¤§à¤¿à¤¤ à¤•à¤¿à¤¯à¤¾à¥¤ à¤à¤¨à¤à¤¸à¤à¤¸ à¤ªà¥à¤°à¤­à¤¾à¤°à¥€ à¤°à¤¾à¤œà¥‡à¤‚à¤¦à¥à¤° à¤°à¥‡à¤¬à¤¾à¤°à¥€ à¤¦à¥à¤µà¤¾à¤°à¤¾ à¤›à¤¾à¤¤à¥à¤°à¤¾à¤“à¤‚ à¤•à¥‹ à¤ªà¤°à¥à¤¯à¤¾à¤µà¤°à¤£ à¤•à¥‡ à¤²à¤¿à¤ à¤œà¥€à¤µà¤¨ à¤•à¥‡ à¤…à¤‚à¤¤à¤°à¥à¤—à¤¤ 7 à¤¶à¥à¤°à¥‡à¤£à¤¿à¤¯à¥‹à¤‚ à¤®à¥‡à¤‚ 75 à¤—à¤¤à¤¿à¤µà¤¿à¤§à¤¿à¤¯à¥‹à¤‚ à¤•à¥€ à¤œà¤¾à¤¨à¤•à¤¾à¤°à¥€ à¤¦à¥€à¥¤ à¤ªà¤•à¥à¤·à¤¿à¤¯à¥‹à¤‚ à¤•à¥‡ à¤ªà¤¾à¤¨à¥€ à¤ªà¥€à¤¨à¥‡ à¤•à¥‡ à¤²à¤¿à¤ à¤ªà¤°à¤¿à¤‚à¤¡à¥‡ à¤¬à¤¾à¤‚à¤§à¥‡à¥¤ à¤•à¤¾à¤°à¥à¤¯à¤•à¥à¤°à¤® à¤•à¥‡ à¤…à¤‚à¤¤ à¤®à¥‡à¤‚ à¤›à¤¾à¤¤à¥à¤°à¥‹à¤‚ à¤¦à¥à¤µà¤¾à¤°à¤¾ à¤ªà¤°à¥à¤¯à¤¾à¤µà¤°à¤£ à¤•à¥‡ à¤²à¤¿à¤ à¤¸à¥à¤°à¤•à¥à¤·à¤¾ à¤à¤µà¤‚ à¤ªà¤°à¥à¤¯à¤¾à¤µà¤°à¤£ à¤•à¥‡ à¤²à¤¿à¤ à¤œà¥€à¤µà¤¨ à¤¶à¥ˆà¤²à¥€ à¤•à¥€ à¤¶à¤ªà¤¥ à¤²à¥€à¥¤
604,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags SAY A BIG NO TO PLASTIC CARRY BAGS!
606,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags Replaced disposable glasses/cups with steel bottles and Disposable cutlery in the Guest House are replaced with ceramic cutlery by ICFRE-IWST, Bengaluru."
608,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags #SayNoToPlasticCarryBags
611,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags Carry your own cloth bag for shopping instead of using plastic bags
612,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
614,Single-Use Plastic Reduced,"Use cloth bag for shopping instead of plastic bags Lifestyle for Environment🌏🌿

Single Use Plastic Reduced: Carry your own bottle wherever possible."
616,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags Cleaning of College/School surroundings and also adopted villages.
618,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others) RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th March, 2023 for 185 beneficiaries.
#LiFEMission #ChooseLiFE"
619,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others) RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk,Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission  on 14th March, 2023 for 185 beneficiaries."
621,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others) BPCL developed creatives on seven themes of Mission LiFE. These creatives were posted on social media such as Twitter, Facebook, Linkedin, Instagram & Koo, which received huge response through likes, comments & shares."
623,Water Saved,"Use efficient water saving technologies (like micro-irrigation, bunding, farm ponds, zero tillage, direct seeded rice, alternate wetting and drying and others) BPCL promotes Mission LiFE through Social Media"
629,Single-Use Plastic Reduced,Use menstrual cups instead of sanitary napkins test the flow
630,Single-Use Plastic Reduced,Use menstrual cups instead of sanitary napkins test
631,Energy Saved,Use public transport wherever possible Use public transport whenever possible
632,Energy Saved,"Use public transport wherever possible à¤¹à¤¿à¤®à¤¾à¤²à¤¯à¤¨ à¤µà¤¨ à¤…à¤¨à¥à¤¸à¤‚à¤§à¤¾à¤¨ à¤¸à¤‚à¤¸à¥à¤¥à¤¾à¤¨, à¤¶à¤¿à¤®à¤²à¤¾ à¤¨à¥‡  à¤à¤¨à¤µà¤¾à¤¯à¤°à¤®à¥‡à¤‚à¤Ÿ à¤«à¥‰à¤° à¤²à¤¾à¤‡à¤« à¤•à¥‡ à¤¬à¤¾à¤°à¥‡ à¤®à¥‡à¤‚ à¤­à¥€ à¤²à¥‹à¤—à¥‹à¤‚ à¤•à¥‹ à¤œà¤¾à¤—à¤°à¥‚à¤• à¤•à¤¿à¤¯à¤¾ à¤‰à¤¨à¥à¤¹à¥‹à¤‚à¤¨à¥‡ à¤•à¤¹à¤¾ à¤•à¤¿ à¤¹à¤®à¥‡à¤‚ à¤…à¤ªà¤¨à¤¾ à¤œà¥€à¤µà¤¨ à¤¶à¥ˆà¤²à¥€ à¤à¤¸à¥€ à¤¬à¤¨à¤¾à¤¨à¥€ à¤šà¤¾à¤¹à¤¿à¤ à¤•à¥€ à¤¹à¤®à¤¾à¤°à¥‡ à¤•à¤¾à¤°à¥à¤¯à¥‹à¤‚ à¤¸à¥‡ à¤•à¤¾à¤°à¥à¤¬à¤¨ à¤•à¤¾ à¤‰à¤¤à¥à¤¸à¤°à¥à¤œà¤¨ à¤•à¤® à¤¸à¥‡ à¤•à¤® à¤¹à¥‹ à¤”à¤° à¤•à¤¾à¤°à¥à¤¬à¤¨ à¤•à¤¾ à¤«à¤¿à¤•à¥à¤¸à¥‡à¤¶à¤¨ à¤¹à¥‹ à¤‰à¤¨à¥à¤¹à¥‹à¤‚à¤¨à¥‡ à¤•à¤¹à¤¾ à¤•à¥€ à¤…à¤—à¤° à¤¸à¤­à¥€ à¤•à¤°à¥à¤®à¤šà¤¾à¤°à¥€ à¤”à¤° à¤…à¤§à¤¿à¤•à¤¾à¤°à¥€ à¤¦à¥‡à¤¶à¤µà¤¾à¤¸à¥€ à¤®à¤¿à¤²à¤•à¤° à¤¦à¥‡à¤¶ à¤•à¥€ à¤‰à¤¨à¥à¤¨à¤¤à¤¿ à¤®à¥‡à¤‚ à¤¯à¥‹à¤—à¤¦à¤¾à¤¨ à¤¦à¥‡à¤‚ à¤¤à¤­à¥€ à¤­à¤¾à¤°à¤¤à¤µà¤°à¥à¤· à¤à¤• à¤µà¤¿à¤•à¤¸à¤¿à¤¤ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤° à¤à¤• à¤µà¤¿à¤•à¤¸à¤¿à¤¤ à¤¦à¥‡à¤¶ à¤¬à¤¨ à¤ªà¤¾à¤à¤—à¤¾ à¥¤"
633,Energy Saved,"Use public transport wherever possible IOCL- DIGBOI REFINERY has completed the activity of"" Display of LiFE logo and creatives on the themes of â€œSave Energyâ€œ and â€œConserve Waterâ€ of Mission LiFE"" by putting up 5 Numbers of banners at various locations around Digboi Refinery (Refinery Main Gate, Centenary Park, Bihutali Auditorium, New Market Public Parking, Digboi Refinery Museum)"
634,Energy Saved,"Use public transport wherever possible A sensitization programme on use of public transport by ICFRE-HFRI, Shimla"
635,Energy Saved,Use public transport wherever possible #LifestyleForEnvironment 
638,Energy Saved,"Use public transport wherever possible IOCL- DIGBOI REFINERY has completed the activity of"" Display of LiFE logo and creatives on the themes of “Save Energy“ and “Conserve Water” of Mission LiFE"" by putting up 5 Numbers of banners at various locations around Digboi Refinery"
640,Energy Saved,Use public transport wherever possible Banners on usage of public transport were displayed in six Retail Outlets under IOCL Coimbatore DO to create awareness among public. Phamplets were distributed.
644,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible BPCL Retail Outlets (Eastern Region) - February-2023."
645,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible BPCL displayed LiFE logo and creatives at Retail Outlets of Eastern Region during month of February 2023."
648,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible BPCL is registered as Brand Owner with Central Pollution Control Board (CPCB) under Plastic waste management rule for EPR. BPCL has collected and processed approx. 400 Metric Tonne of plastic waste in the month of January-2023 under EPR. "
649,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible BPCL Retail Outlets (Western Region) - February-2023."
650,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible BPCL displayed LiFE logo and creatives at Retail Outlets of Western Region during month of February 2023."
652,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible BPCL disposes Plastic Waste through Extended Producer Responsibility as a Brand Owner."
656,Single-Use Plastic Reduced,"Use recycled plastic over virgin plastic, wherever possible BPCL is registered as Brand Owner with Central Pollution Control Board (CPCB) under Plastic waste management rule for EPR. BPCL has collected and processed approx. 350 Metric Tonne of plastic waste in the month of February-2023 under EPR. "
664,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units BPCL displayed LiFE logo and creatives at Retail Outlets of Southern Region during month of February 2023."
665,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Talk, Green Pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 16th March, 2023 for 180 beneficiaries.#LiFEMission #ChooseLiFE"
666,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units #SaveWater "
